"","Structure","Abbreviation","Hemisphere","Level_1","Level_2","Level_3","Level_4","Subdivisions_7","index","index2","clusfound","Subdivisions_7_nowm"
"23","Parietal_Cortex_Posterior_Area_Rostral_Part","PtPR","Left","1_forebrain","1_secondary_prosencephalon","1_isocortex","12_parietal_cortex","1_isocortex",23,23,0,"1_isocortex"
"86","Rostral_Linear_Nucleus","RI","Left","2_midbrain","m1","m1","2_midbrain_tegmentum","5_midbrain",86,86,0,"5_midbrain"
"102","Motor_Root_of_Trigeminal_Nerve","m5","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","6_hindbrain",102,102,0,"6_hindbrain"
"118","Anterior_Commisure","ac","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",118,118,0,"1_isocortex"
"119","Optic_Tracts","ot","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",119,119,0,"1_isocortex"
"120","Fimbria","fi","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",120,120,1,"1_isocortex"
"121","Corpus_Callosum","cc","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",121,121,1,"1_isocortex"
"122","Fornix","fx","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",122,122,1,"1_isocortex"
"123","Stria_Terminalis","st","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",123,123,0,"1_isocortex"
"124","Cingulum","cg","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",124,124,0,"1_isocortex"
"125","Lateral_Olfactory_Tract","lo","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",125,125,0,"1_isocortex"
"126","Ventral_Hippocampal_Commissure","vhc","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",126,126,0,"1_isocortex"
"127","Internal_Capsule","ic","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",127,127,0,"4_diencephalon"
"128","Fasciculus_Retroflexus","fr","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",128,128,0,"4_diencephalon"
"129","Stria_Medularis","sm","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",129,129,0,"4_diencephalon"
"130","Mamillothalamic_Tract","mt","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",130,130,0,"4_diencephalon"
"131","Posterior_Commissure","pc","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",131,131,0,"4_diencephalon"
"132","Brachium_of_Superior_Colliculus","bsc","Left","4_white_matter_tracts","midbrain_white_matter","colliculi_white_matter","white_matter","7_whitematter",132,132,0,"4_diencephalon"
"133","Cerebral_Peduncle","cp","Left","4_white_matter_tracts","midbrain_white_matter","other_midbrain_white_matter","white_matter","7_whitematter",133,133,0,"4_diencephalon"
"134","Lateral_Lemniscus","ll","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",134,134,1,"6_hindbrain"
"135","Spinal_Trigeminal_Nerve","sp5","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",135,135,0,"6_hindbrain"
"136","Pyramidal_Tract","py","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",136,136,0,"6_hindbrain"
"137","Vestibulocochlear_Nerve","n8","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",137,137,0,"6_hindbrain"
"138","Facial_Nerve","n7","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",138,138,0,"6_hindbrain"
"139","Longitudinal_Fasciculus_of_Pons","lfp","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",139,139,0,"6_hindbrain"
"140","Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract","mlf_ts","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",140,140,0,"6_hindbrain"
"141","Spinocerebellar_Tract","sc","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",141,141,0,"6_hindbrain"
"142","Medial_Lemniscus","ml","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",142,142,0,"6_hindbrain"
"143","Ventral_Spinocerebellar_Tract","vsc","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",143,143,0,"6_hindbrain"
"144","Middle_Cerebellar_Peduncle","mcp","Left","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",144,144,0,"6_hindbrain"
"145","Superior_Cerebellar_Peduncle","scp","Left","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",145,145,0,"6_hindbrain"
"146","Inferior_Cerebellar_Peduncle","icp_oc_tz","Left","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",146,146,0,"6_hindbrain"
"147","Cerebellar_White_Matter","cbw","Left","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",147,147,0,"6_hindbrain"
"148","Lateral_Ventricle","LV","Left","5_ventricular_system","forebrain","forebrain_CSF","cerebrospinal_fluid","8_CSF",148,148,0,"csf"
"150","Dorsal_Acustic_Stria","das","Left","4_white_matter_tracts","pontine_hindbrain","axial_hindbrain_white_matter","white_matter","7_whitematter",150,150,0,"6_hindbrain"
"152","Ventricular_System_4thVentricle","4V","Left","5_ventricular_system","hindbrain","hindbrain_CSF","cerebrospinal_fluid","8_CSF",152,152,0,"8_CSF"
"161","Cerebrospinal_fluid","CSF","Left","5_ventricular_system","combo","combo","CSF","8_CSF",161,161,0,"8_CSF"
"189","Parietal_Cortex_Posterior_Area_Rostral_Part","PtPR","Right","1_forebrain","1_secondary_prosencephalon","1_isocortex","12_parietal_cortex","1_isocortex",189,1023,0,"1_isocortex"
"268","Motor_Root_of_Trigeminal_Nerve","m5","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","6_hindbrain",268,1102,0,"6_hindbrain"
"274","Tegmental_Nucleus","Tg","Right","3_hindbrain","2_pontine_hindbrain","r1","1_pons","6_hindbrain",274,1108,0,"6_hindbrain"
"284","Anterior_Commisure","ac","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",284,1118,0,"7_whitematter"
"285","Optic_Tracts","ot","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",285,1119,0,"7_whitematter"
"286","Fimbria","fi","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",286,1120,0,"7_whitematter"
"287","Corpus_Callosum","cc","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",287,1121,0,"7_whitematter"
"288","Fornix","fx","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",288,1122,0,"7_whitematter"
"289","Stria_Terminalis","st","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",289,1123,0,"7_whitematter"
"290","Cingulum","cg","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",290,1124,0,"7_whitematter"
"291","Lateral_Olfactory_Tract","lo","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",291,1125,0,"7_whitematter"
"292","Ventral_Hippocampal_Commissure","vhc","Right","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",292,1126,0,"7_whitematter"
"293","Internal_Capsule","ic","Right","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",293,1127,0,"7_whitematter"
"294","Fasciculus_Retroflexus","fr","Right","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",294,1128,0,"7_whitematter"
"295","Stria_Medularis","sm","Right","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",295,1129,0,"7_whitematter"
"296","Mamillothalamic_Tract","mt","Right","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",296,1130,0,"7_whitematter"
"297","Posterior_Commissure","pc","Right","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",297,1131,0,"7_whitematter"
"298","Brachium_of_Superior_Colliculus","bsc","Right","4_white_matter_tracts","midbrain_white_matter","colliculi_white_matter","white_matter","7_whitematter",298,1132,0,"7_whitematter"
"299","Cerebral_Peduncle","cp","Right","4_white_matter_tracts","midbrain_white_matter","other_midbrain_white_matter","white_matter","7_whitematter",299,1133,0,"7_whitematter"
"300","Lateral_Lemniscus","ll","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",300,1134,0,"7_whitematter"
"301","Spinal_Trigeminal_Nerve","sp5","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",301,1135,0,"7_whitematter"
"302","Pyramidal_Tract","py","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",302,1136,0,"7_whitematter"
"303","Vestibulocochlear_Nerve","n8","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",303,1137,0,"7_whitematter"
"304","Facial_Nerve","n7","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",304,1138,0,"7_whitematter"
"305","Longitudinal_Fasciculus_of_Pons","lfp","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",305,1139,0,"7_whitematter"
"306","Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract","mlf_ts","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",306,1140,0,"7_whitematter"
"307","Spinocerebellar_Tract","sc","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",307,1141,0,"7_whitematter"
"308","Medial_Lemniscus","ml","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",308,1142,0,"7_whitematter"
"309","Ventral_Spinocerebellar_Tract","vsc","Right","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","7_whitematter",309,1143,0,"7_whitematter"
"310","Middle_Cerebellar_Peduncle","mcp","Right","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",310,1144,0,"7_whitematter"
"311","Superior_Cerebellar_Peduncle","scp","Right","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",311,1145,0,"7_whitematter"
"312","Inferior_Cerebellar_Peduncle","icp_oc_tz","Right","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",312,1146,0,"7_whitematter"
"313","Cerebellar_White_Matter","cbw","Right","4_white_matter_tracts","hindbrain_white_matter","cerebellar_white_matter","white_matter","7_whitematter",313,1147,0,"7_whitematter"
"314","Lateral_Ventricle","LV","Right","5_ventricular_system","forebrain","forebrain_CSF","cerebrospinal_fluid","8_CSF",314,1148,0,"8_CSF"
"316","Dorsal_Acustic_Stria","das","Right","4_white_matter_tracts","pontine_hindbrain","axial_hindbrain_white_matter","white_matter","7_whitematter",316,1150,0,"7_whitematter"
"318","Ventricular_System_4thVentricle","4V","Right","5_ventricular_system","hindbrain","hindbrain_CSF","cerebrospinal_fluid","8_CSF",318,1152,0,"8_CSF"
"327","Cerebrospinal_fluid","CSF","Right","5_ventricular_system","combo","combo","CSF","8_CSF",327,1161,0,"8_CSF"
"333","TotalBrain","Brain","Bilateral",NA,NA,NA,NA,NA,333,NA,0,NA
